EXBZUS	EXCAUS	EXCHUS	EXDNUS	EXHKUS	EXINUS	EXJPUS	EXKOUS	EXMAUS	EXMXUS	EXNOUS	EXSDUS	EXSFUS	EXSIUS	EXSLUS	EXSZUS	EXTAUS	EXTHUS	EXALUS	EXEUUS	EXNZUS	EXUKUS
2.2685	1.0926	6.1541	5.5987	7.7504	60.8738	102.9438	1024.55	3.1766	13.1436	6.1935	6.8983	10.6632	1.2484	130.1748	0.9098	29.9729	32.0048	1.0742	0.7510	1.1853	0.5988
2.3379	1.1011	6.1382	5.7757	7.7526	60.8976	107.4257	1035.8914	3.2182	13.237	6.3525	7.1302	10.9908	1.2638	130.2562	0.937	30.131	32.1971	1.1060	0.7759	1.2294	0.6139
2.4495	1.1212	6.1251	5.8723	7.7572	61.3668	108.0264	1060.3359	3.2677	13.4795	6.56	7.2456	11.0594	1.2745	130.5618	0.9528	30.3964	32.4418	1.1388	0.7888	1.2697	0.6221
2.5527	1.1325	6.1249	5.966	7.7543	61.6828	116.2994	1097.8728	3.3454	13.6148	6.809	7.4155	11.0901	1.2964	130.9278	0.9642	30.7278	32.7878	1.1569	0.8017	1.2765	0.6341
2.6419	1.1532	6.1886	6.0351	7.7541	62.7071	119.3233	1102.6224	3.4768	14.5205	7.2772	7.6289	11.4975	1.315	131.0786	0.9753	31.3519	32.8876	1.2111	0.8111	1.2877	0.6392
2.6346	1.2122	6.2181	6.4083	7.7531	62.13	118.25	1088.13	3.5847	14.6972	7.6865	8.1131	11.5527	1.3378	131.6075	0.9443	31.6385	32.728	1.2401	0.8610	1.3110	0.6604
2.817	1.2499	6.2518	6.5636	7.7551	61.9905	118.76	1101.4605	3.5972	14.917	7.5861	8.3537	11.5773	1.3549	132.7221	0.9361	31.5537	32.5595	1.2825	0.8811	1.3416	0.6524
3.1414	1.2618	6.2386	6.8954	7.7584	62.4805	120.3945	1112.9005	3.6793	15.2375	7.9952	8.5448	12.0884	1.377	132.95	0.9798	31.4382	32.6245	1.2947	0.9243	1.3405	0.6685
3.0421	1.2337	6.201	6.9011	7.7509	62.6414	119.5095	1084.6709	3.632	15.1943	7.8774	8.6321	11.9755	1.3482	132.9227	0.9595	30.9709	32.5141	1.2920	0.9240	1.3165	0.6681
3.0562	1.2176	6.2035	6.6823	7.7527	63.715	120.798	1092.6365	3.5976	15.2796	7.5503	8.335	11.972	1.3344	133.46	0.9316	30.6185	33.52	1.2673	0.8955	1.3545	0.6470
3.1117	1.2365	6.2052	6.646	7.7528	63.7809	123.7186	1112.8832	3.7371	15.4792	7.8111	8.2653	12.2913	1.3455	133.9382	0.9321	30.8982	33.7186	1.2962	0.8908	1.4316	0.6420
3.2288	1.2863	6.2085	6.785	7.7514	63.6045	123.3109	1146.5468	3.802	15.9515	8.1255	8.5325	12.4602	1.3616	133.6818	0.9547	31.1909	34.3518	1.3501	0.9093	1.5038	0.6427
